rates,created_at
"{'name': 'Silver - Troy Ounce', 'unit': 'XAG', 'value': 2419.653, 'type': 'commodity'}",20250330_014029
"{'name': 'Gold - Troy Ounce', 'unit': 'XAU', 'value': 26.756, 'type': 'commodity'}",20250330_014029
"{'name': 'Bits', 'unit': 'μBTC', 'value': 1000000.0, 'type': 'crypto'}",20250330_014029
"{'name': 'Satoshi', 'unit': 'sats', 'value': 100000000.0, 'type': 'crypto'}",20250330_014029
"{'name': 'Colombian Peso', 'unit': '$', 'value': 345288945.036, 'type': 'fiat'}",20250330_014029
"{'name': 'Kenyan Shilling', 'unit': 'KSh', 'value': 10662718.767, 'type': 'fiat'}",20250330_014029
"{'name': 'Romanian Leu', 'unit': 'lei', 'value': 379213.303, 'type': 'fiat'}",20250330_014029
"{'name': 'Dominican Peso', 'unit': 'RD$', 'value': 5206620.341, 'type': 'fiat'}",20250330_014029
"{'name': 'Costa Rican Colón', 'unit': '₡', 'value': 41223758.31, 'type': 'fiat'}",20250330_014029
"{'name': 'Honduran Lempira', 'unit': 'L', 'value': 2110216.474, 'type': 'fiat'}",20250330_014029
"{'name': 'Zambian Kwacha', 'unit': 'ZK', 'value': 2369970.038, 'type': 'fiat'}",20250330_014029
"{'name': 'Salvadoran Colón', 'unit': '₡', 'value': 721758.98, 'type': 'fiat'}",20250330_014029
"{'name': 'Bosnia and Herzegovina Convertible Mark', 'unit': 'KM', 'value': 149773.621, 'type': 'fiat'}",20250330_014029
"{'name': 'Peruvian Sol', 'unit': 'S/', 'value': 300297.717, 'type': 'fiat'}",20250330_014029
"{'name': 'Guatemalan Quetzal', 'unit': 'Q', 'value': 636373.165, 'type': 'fiat'}",20250330_014029
"{'name': 'Lebanese Pound', 'unit': 'ل.ل', 'value': 7392178710.092, 'type': 'fiat'}",20250330_014029
"{'name': 'Armenian Dram', 'unit': '֏', 'value': 32304944.233, 'type': 'fiat'}",20250330_014029
